ROAD TRIP CSV ",."
Version,Language
1500,de


Kraftstoff
Tachostand (km),Tagestachostand,Datum,Getankt Betrag,Getankt Einheiten,Preis pro Einheit,Total Preis,Vollgetankt,l/100 km,Notiz,Oktan,Ort,Zahlung,Verkehrsbedingungen,Initialisieren,Kategorien,Flags,Währungscode,Wechselkurs,Breite,Länge,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
210574,113,"2019-2-22 16:58",53.68,L,1.2371,66.41,,6.4985,,"NoName",,,"Überlandfahrten",,,0,,1,47.166412,10.731119,305,,,,,0
211467,893,"2019-3-11 17:51",59.93,L,1.2683,76.01,,6.7111,,"Aral","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.802888,9.797589,307,,,,,0
212418,951,"2019-4-4 18:44",60.35,L,1.2196,73.6,,6.346,,"Avia","Schorndorf",,"Stadt/Land",,,0,,1,48.815106,9.423826,309,,,,,0
213220,802,"2019-4-20 10:15",52.8,L,1.2991,68.59,,6.5835,,"Agip","Schwäbisch Gmünd",,"Stadt/Land",,,0,,1,48.801996,9.808347,311,,,,,0
214037,817,"2019-5-4 11:19",53.52,L,1.329,71.13,,6.5508,,"Agip","Stuttgart",,"Überlandfahrten",,,0,,1,48.820634,9.174807,313,,,,,0
214850,813,"2019-6-4 18:56",54.0142,L,1.2589,68,,6.6438,,"Total","Schwäbisch Gmünd",,"Stadt/Land",,,0,,1,48.788514,9.763523,317,,,,,0
215786,936,"2019-7-9 17:37",60.21,L,1.2589,75.8,,6.4327,,"NoName","Aalen",,"Stadt/Land",,,0,,1,48.835285,10.088682,315,,,,,0
216595,809,"2019-8-10 14:48",59.1,L,1.209,71.45,,7.3053,,"Elan","Gunzenhausen",,"Stadt/Land",,,0,,1,49.31166,11.001861,319,,,,,0
217456,861,"2019-9-5 10:48",57.71,L,1.218,70.29,,6.7027,,"NoName","Böhmenkirch",,"Stadt/Land",,,0,,1,48.40351,9.975864,321,,,,,0
218262,806,"2019-9-11 12:26",52.91,L,1.2191,64.5,,6.5645,,"JET","Dresden",,"Überlandfahrten",,,0,,1,51.086202,13.692048,323,,,,,0
219183,921,"2019-9-14 16:04",56.92,L,1.2117,68.97,,6.1802,,"NoName","Białystok",,"Überlandfahrten",,,0,,1,53.032305,23.091702,325,,,,,0
219943,760,"2019-9-15 16:31",54.53,L,1.269,69.2,,7.175,,"Aral","Zgorzelec",,"Überlandfahrten",,,0,,1,51.22566,14.90196,327,,,,,0
220884,941,"2019-9-20 20:05",59.45,L,1.2289,73.06,,6.3177,,"Agip","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.802001,9.808286,329,,,,,0
221708,824,"2019-10-6 19:25",59.73,L,1.179,70.42,,7.2488,,"JET","Laupheim",,"Überlandfahrten",,,0,,1,48.844088,10.098095,331,,,,,0
222531,823,"2019-10-27 19:42",58.44,L,1.229,71.82,,7.1009,,"Avia","Ebnat",,"Stadt/Land",,,0,,1,47.989478,10.232357,333,,,,,0
223379,848,"2019-11-9 14:00",59.21,L,1.289,76.32,,6.9823,,"Aral","Nürnberg",,"Stadt/Land",,,0,,1,49.400627,11.142781,335,,,,,0
224187,808,"2019-11-27 8:07",57.4,L,1.3068,75.01,,7.104,,"Esso","Aalen",,"Stadt/Land",,,0,,1,48.848407,10.097564,337,,,,,0
225059,872,"2019-12-10 18:29",58.44,L,1.239,72.41,,6.7018,,"Aral","Urbach",,"Stadt/Land",,,0,,1,48.808973,9.570905,339,,,,,0
225960,901,"2019-12-19 20:21",59.12,L,1.319,77.98,,6.5616,,"Aral","Stuttgart",,"Überlandfahrten",,,0,,1,48.843824,10.098868,341,,,,,0
226799,839,"2020-1-5 18:48",20,L,1.539,30.78,Partial,6.6314,,"Total","Singen",,"Überlandfahrten",,,0,,1,48.205904,8.625153,343,,,,,0
227140,341,"2020-1-9 17:29",58.25,L,1.269,73.92,,6.6314,,"RAN","Aalen",,"Überlandfahrten",,,0,,1,48.827728,10.077125,345,,,,,0
227996,856,"2020-1-21 18:13",58.48,L,1.2591,73.63,,6.8318,,"Esso","Aalen",,"Stadt/Land",,,0,,1,48.848501,10.097704,347,,,,,0
228833,837,"2020-2-1 18:22",56.97,L,1.2491,71.16,,6.8065,,"Aral","Nürnberg",,"Stadt/Land",,,0,,1,49.401539,11.150415,349,,,,,0
229726,893,"2020-2-13 16:50",58.94,L,1.2591,74.21,,6.6002,,"Aral","Stuttgart",,"Stadt/Land",,,0,,1,48.810055,9.154285,351,,,,,0
230518,792,"2020-3-4 7:40",57.28,L,1.159,66.39,,7.2323,,"Esso","Aalen",,"Stadt/Land",,,0,,1,48.848461,10.0974,353,,,,,0
230943,425,"2020-3-18 14:14",31.66,L,1.149,36.38,,7.4494,,"Esso","Aalen",,"Stadt/Land",,,0,,1,48.843672,10.09905,358,,,,,0
231788,845,"2020-5-11 18:28",60.84,L,0.999,60.78,,7.2,,"Esso","Aalen",,"Stadtverkehr",,,0,,1,48.848391,10.097551,360,,,,,0
232573,785,"2020-6-13 18:15",58.1,L,1.0491,60.95,,7.4013,,"Aral","Aalen",,"Stadtverkehr",,,0,,1,48.84373,10.098979,362,,,,,0
233373,800,"2020-7-6 13:17",57.99,L,1.089,63.15,,7.2488,,"OMV","Aalen",,"Stadt/Land",,,0,,1,48.843664,10.098933,364,,,,,0
234005,632,"2020-9-13 15:36",54.43,L,1.0389,56.55,,8.6123,,"Aral","Nürnberg",,"Stadtverkehr",,,0,,1,49.401385,11.150692,366,,,,,0
234873,868,"2020-10-8 14:13",56.61,L,1.039,58.82,,6.5219,,"Aral","Stuttgart",,"Überlandfahrten",,,0,,1,48.843656,10.098933,368,,,,,0
235701,828,"2020-10-20 9:01",57.17,L,1.029,58.83,,6.9046,,"Esso","Essingen",,"Überlandfahrten",,,0,,1,48.765101,9.168297,370,,,,,0
236560,859,"2020-11-2 9:48",58.58,L,1.0189,59.69,,6.8196,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.814038,9.823765,372,,,,,0
237256,696,"2020-12-21 13:38",55.75,L,1.1891,66.29,,8.0101,,"Aral","Nürnberg",,"Überlandfahrten",,,0,,1,49.401426,11.150609,374,,,,,0
238122,866,"2021-2-7 13:44",60.84,L,1.289,78.42,,7.0254,,"Aral","Nürnberg",,"Überlandfahrten",,,0,,1,49.401421,11.150751,376,,,,,0
238940,818,"2021-2-12 15:33",47.64,L,1.2691,60.46,,5.824,,"Aral",,,"Überlandfahrten",,,0,,1,48.789194,9.192386,378,,,,,0
239663,723,"2021-3-15 12:43",48.1,L,1.299,62.48,,6.6528,,"Avia","Leinzell",,"Stadt/Land",,,0,,1,48.848886,9.876202,381,,,,,0
240500,837,"2021-4-12 17:48",12.22,L,1.309,16,Partial,6.414,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.801925,9.808343,385,,,,,0
240738,238,"2021-4-25 17:47",56.73,L,1.309,74.26,,6.414,,"OMV","Aalen",,"Überlandfahrten",,,0,,1,48.861316,10.102896,383,,,,,0
241478,740,"2021-5-7",49.44,L,1.3091,64.72,,6.6811,,"Aral","Nürnberg",,"Überlandfahrten",,,0,,1,49.401421,11.150751,389,,,,,0
242279,801,"2021-5-22 15:56",56.64,L,1.369,77.54,,7.0712,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.843991,10.098176,387,,,,,0
242837,558,"2021-6-4",39.7,L,1.3589,53.95,,7.1147,,"Aral","Aalen",,"Überlandfahrten",,,0,,1,48.843557,10.0988,391,,,,,0
243589,752,"2021-6-18 11:00",59.51,L,1.239,73.73,,7.9136,,"Thrainer","Erl",,"Überlandfahrten",,,0,,1,47.648875,12.197028,393,,,,,0
244300,711,"2021-6-28 12:06",14.52,L,1.5992,23.22,Partial,7.4351,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.788431,9.763308,399,,,,,0
244559,259,"2021-7-1",57.6,L,1.299,74.82,,7.4351,,"RAN","Aalen",,"Überlandfahrten",,,0,,1,48.843557,10.0988,395,,,,,0
245394,835,"2021-7-5 11:52",55.04,L,1.369,75.35,,6.5916,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.788431,9.763308,397,,,,,0
246139,745,"2021-7-30 17:24",59.11,L,1.419,83.88,,7.9342,,"Shell","Oberessendorf",,"Überlandfahrten",,,0,,1,47.987066,9.771434,401,,,,,0
247000,861,"2021-8-6",25.93,L,1.3992,36.28,Partial,7.0651,,"Avia","Aalen",,"Stadt/Land",,,0,,1,48.848372,10.097471,407,,,,,0
247260,260,"2021-8-13 17:43",53.27,L,1.389,73.99,,7.0651,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.788463,9.763295,403,,,,,0
247759,499,"2021-8-15 16:45",33.19,L,1.395,46.3,,6.6513,,"Esso","Aalen",,"Überlandfahrten",,,0,,1,48.848372,10.097471,405,,,,,0
248551,792,"2021-8-28 17:51",36,L,1.3889,50,Partial,6.8029,,"Aral","Heilsbronn",,"Überlandfahrten",,,0,,1,49.28344,10.724525,409,,,,,0
249151,600,"2021-9-18 11:56",25.41,L,1.4388,36.56,Partial,6.8029,,"Avia","Aalen",,"Überlandfahrten",,,0,,1,48.848372,10.097471,411,,,,,0
249509,358,"2021-9-25 12:11",57.64,L,1.4591,84.1,,6.8029,,"JET","Dinkelsbühl",,"Stadt/Land",,,0,,1,49.093157,10.409709,413,,,,,0
250354,845,"2021-10-10 12:29",57.1,L,1.4989,85.59,,6.7574,,"OMV","Aalen",,"Stadt/Land",,,0,,1,49.016342,10.325098,415,,,,,0
251200,846,"2021-11-4",55.28,L,1.539,85.08,,6.5343,,"Total","Nördlingen",,"Stadt/Land",,,0,,1,48.8021,9.80842,421,,,,,0
252000,800,"2021-11-11",10.6306,L,1.57,16.69,Partial,6.101,,"Total","Nördlingen",,"Stadt/Land",,,0,,1,48.8021,9.80842,419,,,,,0
252260,260,"2021-11-16 8:08",54.04,L,1.539,83.17,,6.101,,"Total","Nördlingen",,,,,0,,1,48.8021,9.80842,417,,,,,0
253194,934,"2021-12-4 17:44",59.05,L,1.559,92.06,,6.3223,,"Total","Schwäbisch Gmünd",,"Überlandfahrten",,,0,,1,48.788383,9.76347,423,,,,,0


Wartung
Beschreibung,Datum,Tachostand (km),Kosten,Notiz,Ort,Typ,Subtyp,Zahlung,Kategorien,Wiederholung (Zeit),Wiederholung (km),Flags,Währungscode,Wechselkurs,Breite,Länge,ID,Notification Interval,Notification Distance
"Kredit","2015-2-22",76020,-17000,,"Bremen",Unterhalt,"Finanzierung",,,,,0,,1,48.761821,9.171866,199,,
"Kaufbetrag","2015-2-23",76020,16180,,"Bremen",Unterhalt,"Finanzierung",,,,,0,,1,48.761821,9.171866,197,,
"Kreditrate 0","2015-3-2",76020,350,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,1,"1w",100
"Anzahlung","2015-3-9 14:00",76020,500,,"Bremen",Unterhalt,"Finanzierung",,,,,0,,1,,,2,,
"Garantie","2015-3-30 7:19",76020,499,,"Bremen",Unterhalt,"Finanzierung",,,,,0,,1,48.761821,9.171866,5,,
"Dekra Prüfung","2015-3-30 9:31",76020,120,,,Service,"Wartung",,,,,0,,1,,,6,,
"Kundendienst","2015-3-30 15:16",76020,399.99,,"Bremen",Service,"Wartung",,,,,0,,1,48.761797,9.171853,7,,
"Sommerreifen","2015-3-30 15:17",76020,528.6,,"Bremen",Service,"Verschleißteile",,,,,0,,1,48.761821,9.171866,8,,
"Kreditrate 1","2015-4-1",76100,350,,,Unterhalt,"Finanzierung",,,,,0,,1,,,9,,
"Kreditrate 2","2015-5-1",80700,350,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,10,"1w",100
"KFZ-Steuer","2015-5-15 13:44",82832,230,,,Unterhalt,"Steuer",,,"1y",,0,,1,,,11,"1w",100
"Versicherung I / 2015","2015-5-15 13:45",82832,253.42,,,Unterhalt,"Versicherung",,,"6m",,0,,1,,,12,"1w",
"Kreditrate 3","2015-6-2",85000,400,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,13,"1w",100
"Kreditrate 4","2015-7-1",86479,400,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,14,"1w",100
"Versicherung II / 2015","2015-7-5 16:31",86479,485.27,,"Kreuzlingen",Unterhalt,"Versicherung",,,"6m",,64,,1,48.761917,9.172118,15,"1w",
"Reparatur Fahrwerk","2015-7-14",88518,303.31,,"Schwäbisch Gmünd",Service,"Reparatur",,,,,0,,1,48.815614,9.82408,16,,
"Kreditrate 5","2015-8-1",90092,400,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,17,"1w",100
"Kreditrate 6","2015-9-1",,400,,,Unterhalt,"Finanzierung",,,"1m",,0,,1,,,18,"1w",100
"Kreditrate 7","2015-10-1",98416,400,,"Stuttgart",Unterhalt,"Finanzierung",,,,,0,,1,,,19,,
"Winterreifen","2015-10-3 9:19",98416,358,,"Stuttgart",Service,"Verschleißteile",,,,,0,,1,48.763054,9.176521,20,,
"Kreditrate 8","2015-11-2 18:43",101361,400,,"Stuttgart",Unterhalt,"Finanzierung",,,,,0,,1,48.763054,9.176521,22,,
"Radwechsel","2015-11-4 16:20",101599,88,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.761937,9.171924,24,,
"Tirefit ","2015-11-19 17:02",102380,13.99,,"Stuttgart",Service,"Reparatur",,,,,0,,1,48.763054,9.176521,26,,
"Tirefit","2015-11-26",103348,18.99,,"Stuttgart",Service,"Reparatur",,,,,0,,1,48.763054,9.176521,28,,
"Kreditrate 9","2015-12-1",104304,400,,"Stuttgart",Unterhalt,"Finanzierung",,,,,0,,1,48.763054,9.176521,30,,
"Kreditrate 10","2016-1-4 17:10",107013,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.761955,9.171875,32,,
"Versicherung I / 2016","2016-1-4 17:12",107013,485.26,,,Unterhalt,"Versicherung",,,"6m",,64,,1,,,34,"1w",
"Ölwechsel","2016-1-12 9:55",107211,301.37,,"Schwäbisch Gmünd",Service,"Wartung",,,"2y",32000,0,,1,48.761897,9.171941,36,"1w",100
"Kreditrate 11","2016-2-1",109787,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,38,,
"Kreditrate 12","2016-3-2 19:04",112878,400,,"Stuttgart",Unterhalt,"Finanzierung",,,,,0,,1,48.761994,9.171873,40,,
"KFZ-Steuer","2016-3-31 14:26",114810,230,,,Unterhalt,"Steuer",,,"1y",,64,,1,,,42,"1w",100
"Kreditrate 13","2016-4-1",115753,400,,"Stuttgart",Unterhalt,"Finanzierung",,,,,0,,1,48.761994,9.171873,44,,
"Reifenwechseln ","2016-4-27 7:55",118740,80,,"Schwäbisch Gmünd",Service,"Wartung",,,"6m",,0,,1,48.761859,9.171938,46,"1w",100
"TÜV","2016-4-28 7:57",118858,91,,"Schwäbisch Gmünd",Service,"Wartung",,,"2y",,0,,1,48.761859,9.171938,48,"1w",100
"Kreditrate 14","2016-5-2",118858,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,50,,
"Kreditrate 15","2016-6-1",122000,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,52,,
"Kreditrate 16","2016-7-1",125000,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,54,,
"Ummeldung","2016-7-13 13:17",126766,17.8,,"Schwäbisch Gmünd",Andere,"Steuer",,,,,0,,1,48.761859,9.171938,56,,
"Technische Durchsicht","2016-7-21",127227,253.41,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.761859,9.171938,58,,
"Kreditrate 17","2016-8-1",128000,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,60,,
"Versicherung II / 2016","2016-8-28 17:21",130155,222.12,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"6m",,0,,1,48.802118,9.808382,64,"1w",
"Kreditrate 18","2016-9-1",,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,66,,
"Kreditrate 19","2016-10-4",135000,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.788554,9.762755,68,,
"Kreditrate 20","2016-11-2",137000,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.79295,9.860366,77,,
"Mobility kit","2016-11-9 21:03",138000,75.01,,,Service,"Verschleißteile",,,,,0,,1,48.801967,9.808272,70,,
"Winterreifen","2016-11-9 21:04",138000,429.74,,,Service,"Verschleißteile",,,,,0,,1,48.801993,9.80846,72,,
"Öl- und Reifenwechsel","2016-11-22",138875,539.9,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.788554,9.762755,74,,
"Kreditrate 21","2016-12-1",140000,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.79295,9.860366,80,,
"Kreditrate 22","2016-12-5",140100,110,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.79295,9.860366,82,,
"Kreditrate 23","2017-1-2",141836,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.79295,9.860366,84,,
"Versicherung I / 2017","2017-1-2",143850,286.14,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"6m",,64,,1,48.802118,9.808382,88,"1w",
"Versicherung Ib / 2017","2017-2-1",143850,104.19,,,Unterhalt,"Versicherung",,,,,0,,1,,,90,,
"Kreditrate 24","2017-2-1",143850,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.801988,9.808269,92,,
"Kreditrate 25","2017-3-1",146200,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.788421,9.763441,94,,
"Reifenwechseln","2017-3-24",147744,24.89,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.801959,9.808256,96,,
"KFZ-Steuer","2017-3-27 20:35",147744,230,,"Aalen",Unterhalt,"Steuer",,,"1y",,64,,1,48.802086,9.808407,98,"1w",100
"Kreditrate 26","2017-4-4 17:24",148223,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,100,,
"Bremsflüssigkeit wechseln","2017-4-25 17:49",150551,86.48,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.793219,9.774503,102,,
"Kreditrate 27","2017-5-2",151270,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.802133,9.808639,104,,
"Kreditrate 31","2017-5-7",152400,172.84,,,Unterhalt,"Finanzierung",,,,,0,,1,,,114,,
"Kreditrate 28","2017-6-1",152618,400,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.802027,9.80843,106,,
"Versicherung II / 2017","2017-7-3",158557,390.33,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"6m",,64,,1,48.802118,9.808382,110,"1w",
"Kreditrate 29","2017-7-3",158557,400,,"Aalen",Unterhalt,"Finanzierung",,,,,0,,1,48.802048,9.808659,108,,
"Kreditrate 30","2017-7-3 10:50",158557,729.99,"Das waren die Hochzeitsgeschenke in Złoty. ",,Unterhalt,"Finanzierung",,,,,0,,1,48.801627,9.818542,112,,
"Kreditrate 32","2017-8-1",,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,116,,
"Kreditrate 33","2017-9-1",,400,,,Unterhalt,"Finanzierung",,,,,0,,1,,,118,,
"Kreditrate 34","2017-10-2",170081,400,,"Nürnberg",Unterhalt,"Finanzierung",,,,,0,,1,49.404653,11.158749,121,,
"Keilriemen","2017-10-11",170536,74.59,,"Nördlingen",Service,"Reparatur",,,,,0,,1,48.8021,9.80842,123,,
"Ölwechsel","2017-10-13",170748,282.52,,"Schwäbisch Gmünd",Service,"Wartung",,,"2y",32000,0,,1,,,125,"1w",100
"Kreditrate 35","2017-11-2",173440,400,,"Nürnberg",Unterhalt,"Finanzierung",,,,,0,,1,49.404653,11.158749,127,,
"Autowäsche","2017-11-11 13:26",174948,12,,"Nürnberg",Service,"Pflege",,,,,0,,1,49.402362,11.133491,129,,
"Kreditrate 36","2017-11-24",176000,2840.53,,"Schwäbisch Gmünd",Unterhalt,"Finanzierung",,,,,0,,1,48.801196,9.832627,133,,
"Kotflügel Lackieren ","2017-12-1",176500,1200,,"Nördlingen",Andere,"Unfallschaden",,,,,0,,1,48.8021,9.80842,131,,
"Versicherung I / 2018","2018-1-2",179897,384.16,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"6m",,64,,1,48.802118,9.808382,135,"1w",
"Technische Durchsicht","2018-2-23 23:40",187098,195.71,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.802075,9.808399,137,,
"KFZ-Steuer","2018-3-27",191850,230,,"Aalen",Unterhalt,"Steuer",,,"1y",,64,,1,48.802086,9.808407,139,"1w",100
"Ansaugung Verkokt ","2018-4-24",195123,1003.85,,"Nördlingen",Service,"Reparatur",,,,,0,,1,48.802069,9.808474,141,,
"Reifenwechsel","2018-5-18",198569,64.8,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.801815,9.80906,143,,
"Versicherung II / 2018","2018-7-2",200500,384.16,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"6m",,64,,1,48.802118,9.808382,145,"1w",
"Ölwechsel","2018-8-21 17:47",202187,381.52,,"Schwäbisch Gmünd",Service,"Wartung",,,"2y",32000,0,,1,48.802629,9.808361,147,"1w",100
"Versicherung / 2019","2019-1-13 21:22",207767,732.02,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"1y",,64,,1,48.802118,9.808382,151,"1w",
"Starterbatterie Erneuert","2019-1-21 19:52",208462,385.04,,"Nördlingen",Service,"Wartung",,,,,0,,1,48.80207,9.808689,153,,
"Wäsche ","2019-1-22 18:41",208641,7.9,,"Backnang",Service,"Pflege",,,,,0,,1,48.934668,9.437393,155,,
"Lordosestützen","2019-2-22 12:20",210380,1296,,"Augsburg",Andere,"Tuning",,,,,0,,1,48.256738,10.871096,157,,
"KFZ-Steuer","2019-3-27",212000,230,,"Aalen",Unterhalt,"Steuer",,,"1y",,0,,1,48.802086,9.808407,159,"1w",100
"Bremsbeläge","2019-4-26 17:40",213550,509.96,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.802222,9.808212,161,,
"Windschutzscheibe","2019-9-19",220812,300,,"Schwäbisch Gmünd",Andere,"Reparatur",,,,,0,,1,48.843791,10.098972,179,,
"Reifenwechsel","2019-11-15",222000,24.89,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,,,173,,
"Versicherung / 2020","2020-1-2",226500,722.66,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"1y",,0,,1,48.802118,9.808382,167,"1w",
"Motor- und Getriebeölwechsel","2020-2-18 17:12",229977,611.47,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.805963,9.814487,165,,
"KFZ-Steuer","2020-4-14 20:34",231000,235.08,,"Aalen",Unterhalt,"Steuer",,,"1y",,0,,1,48.802086,9.808407,171,"1w",100
"Reifen und TÜV","2020-4-28 9:06",231362,448.06,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.843633,10.098836,175,,
"Stößdämpfer","2020-4-28 9:09",231362,1141.33,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.843686,10.098703,177,,
"Reifenwechsel","2020-12-4",236900,29,,"Schwäbisch Gmünd",Service,"Wartung",,,,,0,,1,48.814038,9.823765,181,,
"Versicherung / 2021","2020-12-7 6:53",236900,200.01,,"Schwäbisch Gmünd",Unterhalt,"Versicherung",,,"1y",,69,,1,48.802118,9.808382,183,"1w",
"Dachgepäckträger","2021-1-24",237823,305.47,,"Aalen",Andere,"Tuning",,,,,0,,1,48.843716,10.098973,185,,
"KFZ-Steuer","2021-3-31",240000,230,,"Aalen",Unterhalt,"Steuer",,,"1y",,1,,1,48.802086,9.808407,187,"1w",100
"Reifenwechsel","2021-5-3",241345,29.75,,"Aalen",Service,"Wartung",,,,,0,,1,48.861316,10.102896,189,,
"Klimaanlage Fehlerdiagnose","2021-7-14 13:46",245721,209.9,,"Aalen",Service,"Reparatur",,,,,0,,1,48.833108,10.0881,191,,
"Klimaanlage Reparaturkosten","2021-7-27 17:10",245907,1287.28,,"Aalen",Service,"Reparatur",,,,,0,,1,48.844084,10.09822,193,,
"Flexrohr","2021-10-6 17:52",250330,226.5,,"Aalen",Service,"Reparatur",,,,,0,,1,48.833021,10.088339,195,,
"Diagnose Steuerkette","2021-12-18 11:44",253640,53.79,,"Ansbach",Service,"Reparatur",,,,,0,,1,,,201,,
"Abmeldung ","2021-12-21",253640,7.8,,"Nördlingen",Unterhalt,"Steuer",,,,,0,,1,48.8021,9.80842,203,,
"Verkauf","2021-12-25",253640,-1500,,"Nördlingen",Unterhalt,"Finanzierung",,,,,0,,1,48.8021,9.80842,203,,


Touren
Name,Start Datum,Start Tachostand (km),Ende Datum,Ende Tachostand,Notiz,Distanz,ID,Typ,Kategorien,Flags
"Frühjahr 2015","2015-1-1",76157,"2015-4-30",79833,,3676,1,Tour-Berichte,,14
"Meine erste Tour","2015-3-14",76157,,,,,2,Tour-Berichte,,14
"Stuttgart","2015-3-23",76157,"2016-5-23",121793,,45636,10,Tour-Berichte,,12
"Polen Papa","2015-4-30",79833,"2015-5-8",82832,,2999,3,Tour-Berichte,,12
"Sommer 2015","2015-5-1",80702,"2015-8-31",94612,,13910,4,Tour-Berichte,,14
"Polen 2015","2015-8-9 9:30",91773,"2015-8-22 9:30",94612,,2839,5,Fahrtenlog,,13
"Herbst 2015","2015-9-1",94612,"2015-12-31",106300,,11688,6,Tour-Berichte,,14
"Gmünd","2016-5-23",121793,"2017-6-30",157618,,35825,8,Tour-Berichte,,12
"Polen 2016","2016-9-4",130920,"2016-9-17 12:47",134551,,3631,12,Tour-Berichte,,0
"Nataliya","2017-7-1",157618,"2018-5-16",198429,,40811,14,Tour-Berichte,,12
"Er gehört zu mir","2018-5-17",198429,"2019-9-21",220884,,22455,16,Tour-Berichte,,12
"Auf nach Aalen!","2019-9-21",220884,"2020-2-12",228833,,7949,18,Tour-Berichte,,12
"Corona","2020-2-13",229726,"2021-1-24",237256,,7530,20,Tour-Berichte,,12
"Dachbox","2021-1-24 14:25",237823,"2021-10-20",250354,,12531,22,Tour-Berichte,,8
"Ende Elternzeit","2021-10-21",250354,,,,,24,Tour-Berichte,,12


Automobil
Name,Tachostand,Verbrauch,Notiz,Tankinhalt,Tankinhalt Einheiten,Lokale Währung,Flags,IconID,FuelUnits,TripComp Units,TripComp Speed,TripComp Temperature,TripComp Time Enabled,Odometer Shift,Tank 1 Type,Tank 2 Type,Tank 2 Units
"Maximus","km","l/100 km","Kfz-Kennzeichen: S-GL 81
FIN: WBAPG110X0E738628

Versicherungs-Namen: HUK Coburg
Versicherung Zahl: 609/529016-D
Telefonnummer: 0800 / 2 153153
Notiz:
",63,L,EUR,28941,1000,1,l/100 km,km/h,C,,


Reifen
Name,Start Datum,Start Tachostand (km),Reifengröße,Größe Korrektur,Distanz,Alter,Notiz,Flags,ID,ParentID
"Conti","2015-3-26",76050,"205",,25549,"7 Monate",,2,1,1
"DunlopEtBridgesrone","2015-11-04",101599,"205",,17141,"5 Monate","Schrott",4,2,0
"Conti","2016-4-26",118740,"205",,20135,"7 Monate",,2,3,1
"Pirelli","2016-11-26",138875,"205",,8869,"3 Monate",,4,4,0
"Conti","2017-3-24",147744,"205",,105896,"4 Jahre 8 Monate",,2,5,1


VALUATIONS
Type,Date,Odometer,Price,Notes,Flags

